AvgR,LbR,UbR,AvgS,LbS,UbS
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
131.939647,30.670518996981713,233.2087750030183,223.21290385185182,219.21794833444423,227.2078593692594
139.2437028148148,33.22160576927466,245.26579986035495,229.342784962963,219.01718627897816,239.66838364694786
112.10087374074074,48.39201195755549,175.80973552392598,222.79577151851854,216.176685295807,229.41485774123007
125.51080281481484,57.10149765942748,193.9201079702022,227.91704381481483,208.69516806937088,247.13891956025878
123.84990437037038,59.34185617546861,188.35795256527217,216.44984774074075,208.87344587425986,224.02624960722164
96.2071162962963,68.86992889285628,123.54430369973633,211.78286966666667,205.98954822888655,217.5761911044468
96.15343659259258,69.21518859298766,123.09168459219751,199.72226788888887,184.59795074927507,214.84658502850266
106.02240766666667,90.26577274890349,121.77904258442985,217.8655058148148,208.13358231062168,227.59742931900794
110.22874422222223,87.15931074606688,133.2981776983776,209.86659844444443,186.366501317716,233.36669557117287
108.30643929629629,84.72906693283323,131.88381165975935,214.74577707407408,194.81405015636614,234.67750399178203
104.41807296296297,80.68929626671763,128.1468496592083,206.3595127407407,169.07484052332876,243.64418495815266
102.83140581481483,77.52750714551033,128.13530448411933,211.46228692592595,168.1536135517245,254.7709603001274
100.05762725925926,69.96797889283371,130.1472756256848,202.37113466666665,132.40111688964168,272.3411524436916
102.67703859259261,75.42083316040525,129.93324402477995,216.55622403703705,151.43192932223712,281.680518751837
98.76264492592593,70.58819343011659,126.93709642173526,211.47844633333332,146.3499677896607,276.60692487700595
99.70065125925926,71.6360852341944,127.76521728432412,224.398009962963,166.8058453794949,281.99017454643104
107.54383892592593,42.98525411246143,172.10242373939042,222.174892,171.41168663916207,272.93809736083796
134.64009944444444,73.8158158326089,195.46438305627998,245.38046214814813,210.28525360002305,280.4756706962732
161.36131107407405,96.81234076598709,225.91028138216103,257.4820218888889,225.46865281046786,289.4953909673099
161.89412603703704,103.5473568918431,220.240895182231,271.23886403703705,253.31376965563976,289.16395841843433
167.105068,106.30012883754802,227.91000716245196,278.8913077777778,270.75113633573284,287.03147921982276
160.94780666666668,107.84939445553637,214.046218877797,298.3350968888888,286.5135119343,310.1566818434776
165.11895066666665,94.34182790452435,235.89607342880896,298.48964466666666,274.04443695639986,322.93485237693346
176.13880999999995,100.71154293366439,251.5660770663355,313.8850024444444,279.1530834191552,348.6169214697336
189.24822566666668,124.45736352197956,254.0390878113538,322.1319569259259,290.83248660557166,353.4314272462802
213.81241292592594,120.92077741907414,306.70404843277777,335.78546544444447,309.34917592524465,362.2217549636443
193.99372970370368,103.49148749068021,284.49597191672717,333.2444894074074,306.1094061600031,360.3795726548117
235.37316362962963,59.79902831193371,410.9472989473255,339.4771768518519,309.098112564452,369.8562411392518
